id,route,warehouse,delivery_time,delay_minutes,delay_reason,date
151,D,WH1,3,30,Weather,2025-05-06
152,E,WH2,4,3,Mechanical,2024-08-08
153,B,WH4,10,87,Mechanical,2024-04-27
154,I,WH1,9,79,Weather,2024-09-28
155,A,WH2,8,5,Mechanical,2025-02-16
156,B,WH1,8,9,None,2025-03-10
157,A,WH3,10,77,Weather,2025-08-28
158,D,WH3,1,56,Weather,2025-11-07
159,H,WH4,3,48,Mechanical,2025-09-15
160,F,WH2,9,83,Traffic,2024-07-10
161,B,WH1,5,8,Weather,2025-07-01
162,F,WH4,2,17,None,2024-12-14
163,I,WH3,3,38,Mechanical,2024-03-02
164,H,WH3,6,50,Traffic,2024-10-18
165,C,WH3,2,115,Weather,2025-09-25
166,B,WH1,8,49,Weather,2024-08-27
167,D,WH2,10,85,None,2024-09-05
168,A,WH2,10,19,Weather,2024-12-23
169,B,WH3,10,76,Weather,2025-06-03
170,E,WH4,3,85,None,2025-03-03
171,C,WH1,8,78,Mechanical,2024-01-20
172,H,WH3,8,27,Traffic,2024-05-02
173,H,WH2,9,109,Traffic,2025-10-15
174,J,WH2,6,17,Traffic,2024-05-07
175,G,WH2,8,32,Weather,2024-09-27
176,G,WH4,1,110,None,2025-06-08
177,B,WH4,8,68,None,2025-07-09
178,I,WH3,6,95,Weather,2024-09-19
179,A,WH4,7,12,Weather,2024-08-28
180,H,WH1,1,116,Mechanical,2025-01-03
181,H,WH1,3,48,Weather,2025-12-26
182,H,WH4,3,29,None,2024-07-28
183,F,WH1,3,102,None,2024-07-15
184,J,WH1,4,73,None,2024-05-08
185,E,WH1,1,55,Mechanical,2025-06-06
186,F,WH2,5,68,Weather,2025-05-28
187,D,WH3,7,97,Mechanical,2025-09-06
188,E,WH3,10,64,None,2024-06-29
189,E,WH4,5,0,Weather,2024-07-23
190,C,WH2,7,45,Weather,2024-12-10
191,C,WH2,6,56,Weather,2024-11-26
192,G,WH1,8,89,Mechanical,2024-03-15
193,B,WH2,10,44,None,2025-08-09
194,H,WH1,4,84,Traffic,2025-08-22
195,I,WH2,8,115,Weather,2024-02-11
196,F,WH2,8,17,Traffic,2025-12-25
197,D,WH2,9,91,Mechanical,2024-05-20
198,A,WH4,3,79,Mechanical,2025-08-19
199,G,WH3,7,101,None,2024-05-28
200,E,WH1,10,88,None,2024-12-03
201,D,WH2,4,41,Traffic,2025-05-29
202,B,WH4,2,102,None,2025-01-04
203,J,WH2,8,68,Traffic,2024-09-14
204,B,WH4,10,107,None,2024-01-05
205,E,WH2,6,17,Traffic,2025-07-23
206,F,WH2,7,77,Mechanical,2025-11-22
207,B,WH1,7,75,Traffic,2025-02-24
208,C,WH2,10,116,Weather,2025-11-19
209,A,WH3,6,84,Mechanical,2025-07-07
210,I,WH1,9,99,Mechanical,2025-04-12
211,I,WH1,2,78,Mechanical,2025-10-09
212,D,WH2,1,51,Traffic,2025-10-03
213,G,WH4,1,80,Mechanical,2024-04-02
214,D,WH2,4,92,Traffic,2025-07-13
215,H,WH2,8,35,None,2024-04-09
216,B,WH1,7,91,Traffic,2024-06-19
217,B,WH1,9,1,Weather,2024-07-10
218,H,WH1,10,119,Traffic,2025-05-16
219,J,WH1,7,32,None,2025-10-10
220,B,WH4,5,114,Weather,2025-03-30
221,C,WH1,7,10,Weather,2025-09-30
222,H,WH2,2,9,None,2025-06-27
223,C,WH2,6,74,None,2024-03-10
224,G,WH3,10,1,Weather,2024-05-13
225,G,WH2,10,106,Weather,2024-11-03
226,E,WH3,7,69,Mechanical,2024-12-29
227,E,WH4,9,80,Mechanical,2025-04-29
228,E,WH4,9,82,Traffic,2025-12-02
229,E,WH1,8,108,Traffic,2025-05-11
230,D,WH2,3,20,Weather,2025-02-24
231,I,WH3,7,18,Mechanical,2025-03-11
232,B,WH2,9,45,Traffic,2025-09-01
233,H,WH4,2,16,Weather,2025-08-04
234,E,WH4,1,25,None,2024-05-16
235,C,WH2,6,90,Weather,2024-10-09
236,I,WH2,1,72,Traffic,2024-04-12
237,C,WH2,10,31,Weather,2024-12-07
238,A,WH2,6,31,Mechanical,2024-09-04
239,D,WH2,1,91,Mechanical,2024-06-10
240,F,WH1,8,7,Weather,2024-12-22
241,C,WH4,5,3,None,2025-01-06
242,A,WH1,6,64,None,2025-09-28
243,J,WH1,7,117,Weather,2025-05-13
244,I,WH4,9,116,None,2024-11-06
245,D,WH4,10,57,Mechanical,2024-09-01
246,I,WH2,8,7,Mechanical,2025-09-23
247,J,WH3,9,117,Mechanical,2024-11-17
248,D,WH3,3,4,None,2025-04-23
249,G,WH2,4,107,Traffic,2025-08-18
250,D,WH2,3,60,Mechanical,2025-08-14
251,F,WH2,10,28,Mechanical,2024-10-12
252,G,WH1,3,12,Traffic,2024-06-22
253,H,WH1,4,4,Weather,2024-06-14
254,D,WH2,10,92,Weather,2025-11-13
255,B,WH2,10,45,None,2025-03-27
256,B,WH4,8,106,None,2024-04-06
257,J,WH1,1,101,Traffic,2025-10-13
258,F,WH3,3,118,Traffic,2025-11-13
259,E,WH2,10,32,Weather,2025-08-29
260,D,WH4,2,40,Traffic,2024-09-21
261,I,WH1,5,112,None,2025-03-23
262,J,WH1,8,97,Traffic,2024-02-13
263,J,WH1,5,36,None,2024-10-25
264,C,WH3,1,86,Traffic,2024-07-01
265,F,WH1,5,32,Traffic,2024-06-27
266,G,WH2,2,43,Traffic,2024-03-26
267,C,WH2,2,63,Weather,2024-12-19
268,D,WH4,8,98,Traffic,2024-12-04
269,B,WH2,2,80,Weather,2024-03-23
270,J,WH1,5,44,Mechanical,2025-01-01
271,H,WH3,9,84,Traffic,2024-02-17
272,H,WH2,5,105,Mechanical,2024-04-14
273,A,WH2,8,25,Mechanical,2024-03-27
274,B,WH1,10,13,Mechanical,2025-05-24
275,I,WH3,2,19,Traffic,2025-11-26
276,J,WH2,1,102,None,2024-11-19
277,I,WH1,4,46,Weather,2024-11-09
278,G,WH2,9,54,Weather,2024-09-22
279,D,WH4,1,73,Weather,2024-02-06
280,C,WH3,4,57,Weather,2025-07-18
281,J,WH4,7,94,None,2024-01-18
282,F,WH4,10,94,Mechanical,2024-11-15
283,D,WH4,4,74,Weather,2025-08-22
284,J,WH3,2,74,Mechanical,2024-04-05
285,C,WH3,1,31,Mechanical,2024-11-04
286,C,WH3,4,5,None,2025-04-11
287,D,WH4,9,84,None,2025-09-25
288,B,WH2,3,43,Traffic,2025-04-06
289,H,WH1,5,108,Mechanical,2025-08-19
290,G,WH4,4,66,Mechanical,2025-04-11
291,C,WH3,7,92,None,2025-10-20
292,G,WH2,3,76,Weather,2024-04-13
293,E,WH4,5,95,Weather,2024-05-09
294,C,WH1,6,36,Traffic,2024-08-09
295,H,WH2,7,85,Traffic,2025-04-12
296,D,WH3,1,45,Traffic,2025-03-12
297,G,WH2,5,87,Mechanical,2025-08-06
298,G,WH2,10,120,Mechanical,2024-09-09
299,J,WH1,9,17,Weather,2025-09-11
300,G,WH1,7,118,Mechanical,2025-07-07
301,I,WH1,5,23,None,2024-09-03
302,I,WH3,5,46,Traffic,2024-12-01
303,G,WH2,8,2,None,2024-06-06
304,H,WH3,6,36,Mechanical,2025-02-28
305,A,WH4,6,25,Mechanical,2025-11-29
306,A,WH3,8,102,Mechanical,2024-07-09
307,E,WH4,3,86,Mechanical,2024-07-26
308,A,WH1,4,108,Weather,2025-04-04
309,G,WH4,6,106,Weather,2025-08-26
310,J,WH3,9,67,Traffic,2024-09-12
311,I,WH3,3,34,Mechanical,2024-05-20
312,D,WH4,3,1,Traffic,2025-04-21
313,A,WH4,10,22,Mechanical,2025-03-13
314,J,WH2,5,99,None,2025-10-25
315,J,WH4,8,54,Weather,2025-04-03
316,E,WH2,2,21,None,2025-08-25
317,H,WH4,2,3,Traffic,2025-01-07
318,H,WH2,1,15,None,2025-06-17
319,D,WH4,3,72,Weather,2025-03-25
320,G,WH1,3,82,Weather,2024-04-28
321,I,WH3,9,66,Mechanical,2024-11-04
322,B,WH3,3,45,Weather,2024-02-15
323,B,WH2,9,50,Traffic,2024-11-19
324,C,WH1,6,111,Weather,2025-01-13
325,J,WH1,8,119,None,2025-03-09
326,B,WH3,8,95,Weather,2025-11-25
327,B,WH3,2,106,Weather,2025-12-25
328,B,WH4,5,38,None,2025-12-15
329,E,WH1,8,80,None,2024-09-27
330,I,WH4,9,95,None,2025-11-18
331,F,WH2,7,44,Weather,2024-10-29
332,E,WH3,1,108,Traffic,2025-08-30
333,G,WH4,7,74,Weather,2025-08-05
334,C,WH3,1,48,Mechanical,2025-09-20
335,H,WH2,9,98,None,2025-08-05
336,D,WH3,1,63,Weather,2025-12-26
337,C,WH3,1,94,Weather,2025-06-22
338,C,WH2,8,118,Weather,2024-08-13
339,B,WH4,8,112,None,2025-08-11
340,I,WH2,8,97,Mechanical,2024-06-26
341,J,WH4,7,85,Traffic,2024-09-29
342,J,WH1,7,15,None,2024-12-13
343,I,WH1,1,82,Weather,2024-10-29
344,B,WH3,9,45,Traffic,2024-03-07
345,E,WH3,1,99,None,2024-01-29
346,G,WH2,4,35,Traffic,2025-11-09
347,C,WH3,8,92,None,2025-07-05
348,D,WH4,10,90,Weather,2024-12-19
349,D,WH4,7,53,Traffic,2024-11-20
350,A,WH3,9,22,None,2024-06-02
351,C,WH2,4,48,Weather,2025-03-10
352,A,WH3,1,29,None,2024-06-07
353,C,WH2,3,104,Mechanical,2025-08-18
354,J,WH3,1,9,Traffic,2025-06-07
355,G,WH1,6,62,Mechanical,2024-09-27
356,I,WH4,5,1,Mechanical,2025-05-19
357,D,WH1,1,82,None,2024-07-04
358,F,WH1,8,41,Mechanical,2024-08-04
359,F,WH3,7,59,Traffic,2025-04-23
360,B,WH4,5,95,None,2024-11-23
361,C,WH4,10,20,Traffic,2025-01-14
362,F,WH1,6,112,None,2025-04-15
363,B,WH3,1,111,None,2025-09-30
364,B,WH1,2,68,None,2024-01-13
365,E,WH3,9,3,Traffic,2024-05-29
366,E,WH3,3,88,Mechanical,2024-03-09
367,J,WH4,10,51,Weather,2024-01-12
368,F,WH2,5,40,Mechanical,2024-12-18
369,C,WH1,3,2,Traffic,2025-08-18
370,F,WH2,7,23,Weather,2025-10-07
371,I,WH1,8,48,None,2025-06-16
372,I,WH2,1,76,Weather,2024-02-22
373,D,WH1,2,22,None,2024-06-10
374,D,WH3,2,83,Weather,2025-04-29
375,B,WH1,4,9,Traffic,2025-12-19
376,E,WH4,3,28,Weather,2024-11-30
377,C,WH2,4,70,Mechanical,2025-11-14
378,I,WH1,10,108,Mechanical,2025-02-14
379,C,WH4,10,107,Traffic,2024-07-30
380,B,WH2,2,45,Weather,2025-11-06
381,E,WH2,10,59,Weather,2024-07-05
382,H,WH3,2,0,Traffic,2024-01-12
383,E,WH4,9,111,Traffic,2025-05-15
384,F,WH4,1,15,None,2024-10-16
385,G,WH4,6,76,Mechanical,2024-01-03
386,B,WH4,3,39,Mechanical,2025-04-14
387,J,WH4,8,65,Weather,2025-06-01
388,E,WH3,4,66,Mechanical,2024-06-15
389,A,WH1,5,118,None,2025-07-14
390,J,WH1,1,95,Weather,2024-02-07
391,E,WH4,6,66,None,2025-11-28
392,E,WH1,1,113,Weather,2025-01-22
393,H,WH1,5,55,Traffic,2024-05-13
394,D,WH4,2,21,Weather,2025-04-16
395,F,WH3,6,114,None,2024-02-10
396,G,WH1,5,120,Mechanical,2024-03-12
397,H,WH1,5,37,Weather,2024-09-17
398,B,WH2,6,44,Weather,2025-07-10
399,H,WH1,4,58,Traffic,2025-05-28
400,I,WH2,4,107,Mechanical,2025-06-12
401,I,WH1,4,93,Mechanical,2025-07-29
402,A,WH1,10,104,Mechanical,2025-10-23
403,G,WH3,2,68,Mechanical,2025-04-24
404,I,WH2,6,13,None,2024-08-11
405,H,WH1,10,32,Weather,2024-12-17
406,D,WH1,3,85,Traffic,2024-08-15
407,C,WH4,9,14,Traffic,2025-08-25
408,H,WH3,3,107,Weather,2025-05-14
409,D,WH1,6,101,Traffic,2025-08-18
410,H,WH3,5,48,Traffic,2025-11-18
411,E,WH4,3,52,Weather,2025-08-07
412,A,WH1,9,0,Traffic,2025-03-11
413,I,WH2,2,65,None,2024-08-27
414,J,WH2,8,12,Traffic,2024-02-15
415,C,WH4,2,112,Traffic,2025-01-01
416,I,WH3,10,117,Traffic,2024-08-20
417,A,WH1,1,97,Traffic,2025-01-26
418,J,WH1,1,41,Weather,2025-08-30
419,E,WH1,1,47,Traffic,2025-04-22
420,F,WH3,6,91,Traffic,2025-08-31
421,G,WH3,1,51,Weather,2024-08-01
422,G,WH3,7,73,None,2024-05-02
423,A,WH4,1,80,Traffic,2024-12-17
424,J,WH4,2,0,Traffic,2024-06-26
425,H,WH1,7,115,Weather,2025-01-27
426,H,WH1,1,18,None,2024-02-11
427,B,WH2,7,11,Mechanical,2024-01-04
428,B,WH3,6,93,Traffic,2024-05-02
429,A,WH2,7,24,None,2024-02-20
430,D,WH4,5,19,None,2024-09-16
431,B,WH1,7,84,Weather,2024-06-09
432,A,WH1,5,54,Traffic,2024-06-02
433,E,WH2,10,117,Weather,2025-09-30
434,F,WH3,1,103,None,2025-02-25
435,F,WH2,8,105,Traffic,2024-10-18
436,H,WH3,7,99,Mechanical,2024-08-30
437,D,WH3,7,52,Traffic,2024-04-17
438,G,WH2,2,53,Mechanical,2024-06-26
439,G,WH2,2,113,Weather,2025-09-07
440,A,WH4,8,64,Mechanical,2024-05-06
441,D,WH4,6,66,Weather,2024-11-24
442,C,WH1,8,45,Traffic,2025-12-12
443,J,WH2,8,2,None,2024-07-13
444,C,WH3,7,78,None,2024-10-29
445,H,WH3,1,17,Weather,2025-01-31
446,H,WH3,6,69,Traffic,2025-04-28
447,I,WH2,10,96,None,2025-04-22
448,D,WH4,2,13,Traffic,2024-06-24
449,G,WH2,6,4,Traffic,2025-12-27
450,D,WH1,8,37,Mechanical,2024-05-11
451,H,WH2,3,101,Mechanical,2025-11-22
452,J,WH2,9,117,Traffic,2025-02-27
453,D,WH4,10,79,Mechanical,2024-08-02
454,C,WH2,1,57,Mechanical,2025-01-21
455,C,WH3,10,47,Traffic,2024-03-15
456,F,WH1,2,72,Mechanical,2025-07-15
457,D,WH1,7,81,Mechanical,2024-01-09
458,G,WH2,5,84,Traffic,2025-06-06
459,E,WH2,10,112,Mechanical,2024-01-07
460,I,WH4,3,41,Traffic,2024-03-03
461,F,WH2,8,75,None,2024-04-08
462,F,WH1,9,63,Mechanical,2024-10-10
463,I,WH1,3,14,None,2024-03-11
464,G,WH2,1,62,Weather,2025-07-10
465,J,WH2,9,107,Weather,2024-09-04
466,G,WH3,9,39,Traffic,2024-12-17
467,C,WH1,3,77,Mechanical,2025-09-15
468,B,WH1,10,84,Weather,2025-07-07
469,C,WH2,10,84,Mechanical,2025-06-04
470,I,WH2,6,112,Mechanical,2025-10-06
471,B,WH1,6,16,Mechanical,2025-07-18
472,F,WH2,3,47,Mechanical,2025-05-19
473,I,WH4,5,74,Weather,2025-10-09
474,I,WH1,1,24,Traffic,2025-01-05
475,H,WH2,10,35,Mechanical,2025-06-02
476,A,WH2,7,19,Weather,2025-01-23
477,I,WH4,10,90,None,2024-09-27
478,D,WH1,7,114,None,2024-08-25
479,E,WH1,8,55,Weather,2024-12-04
480,D,WH3,8,17,Mechanical,2024-02-19
481,G,WH3,10,1,Weather,2025-07-27
482,F,WH4,6,99,Weather,2025-12-17
483,J,WH2,8,80,None,2025-11-21
484,F,WH4,3,89,Mechanical,2024-06-06
485,D,WH2,7,9,Mechanical,2024-03-05
486,C,WH4,3,115,None,2025-01-11
487,F,WH1,4,18,Traffic,2025-11-29
488,I,WH1,5,100,Mechanical,2024-07-17
489,E,WH1,8,6,None,2025-12-27
490,C,WH4,9,67,Mechanical,2024-09-01
491,E,WH2,4,29,Mechanical,2025-07-12
492,A,WH4,4,4,None,2025-02-28
493,I,WH3,9,18,None,2025-12-02
494,B,WH1,6,112,Weather,2025-12-03
495,H,WH3,3,98,Mechanical,2024-06-11
496,G,WH1,1,84,Mechanical,2025-07-09
497,G,WH2,3,53,Mechanical,2025-01-24
498,D,WH3,3,66,Traffic,2024-11-16
499,I,WH4,1,25,None,2025-08-19
500,J,WH4,7,33,Traffic,2024-04-29
501,A,WH3,7,87,Weather,2025-08-01
502,F,WH4,10,10,Weather,2024-01-30
503,G,WH4,7,89,Weather,2025-10-22
504,I,WH1,10,75,Weather,2024-03-10
505,J,WH1,2,47,Traffic,2025-07-23
506,C,WH1,2,100,Mechanical,2025-02-15
507,E,WH2,8,54,None,2024-05-15
508,J,WH3,6,74,Traffic,2025-05-20
509,B,WH2,5,93,Mechanical,2025-01-29
510,C,WH3,7,37,Weather,2024-02-13
511,F,WH1,3,29,Mechanical,2025-05-17
512,C,WH2,7,12,Traffic,2025-11-15
513,C,WH1,3,20,Mechanical,2024-07-03
514,B,WH2,4,29,None,2025-02-18
515,H,WH3,9,96,None,2025-06-07
516,J,WH1,5,106,Mechanical,2025-02-05
517,J,WH4,1,25,Mechanical,2025-09-28
518,B,WH3,5,23,Mechanical,2024-11-19
519,G,WH3,1,89,Mechanical,2024-10-04
520,H,WH3,3,16,None,2025-11-07
521,C,WH1,4,16,Mechanical,2025-05-08
522,A,WH1,6,16,None,2024-04-01
523,D,WH4,8,84,Traffic,2025-08-14
524,H,WH2,9,55,Weather,2024-07-25
525,J,WH3,4,10,Traffic,2025-12-07
526,B,WH1,5,3,Traffic,2024-02-09
527,E,WH2,8,71,Weather,2024-12-29
528,B,WH1,3,13,Mechanical,2024-10-17
529,H,WH2,7,101,Traffic,2024-12-03
530,G,WH1,8,109,Traffic,2025-09-07
531,I,WH1,4,91,None,2025-03-21
532,B,WH2,7,12,Weather,2025-02-28
533,A,WH2,10,50,Traffic,2025-01-12
534,B,WH2,5,95,None,2024-10-10
535,E,WH2,1,83,Mechanical,2024-03-05
536,I,WH4,6,54,Traffic,2025-03-09
537,C,WH4,1,70,Traffic,2024-02-07
538,C,WH4,8,21,Mechanical,2025-03-26
539,E,WH3,8,92,None,2024-05-13
540,A,WH3,6,60,Traffic,2024-04-27
541,A,WH1,1,61,Mechanical,2025-03-23
542,A,WH4,4,113,None,2024-08-30
543,B,WH1,5,60,Traffic,2025-10-25
544,I,WH4,9,83,Traffic,2024-05-22
545,E,WH3,1,103,Mechanical,2024-05-12
546,G,WH2,6,43,Traffic,2024-09-12
547,A,WH1,2,40,Weather,2025-08-20
548,B,WH2,8,38,Mechanical,2025-01-20
549,A,WH4,5,43,Traffic,2024-07-17
550,H,WH1,1,17,Traffic,2025-04-28
551,C,WH3,4,1,Weather,2025-12-16
552,B,WH3,10,90,None,2025-06-22
553,B,WH3,7,2,Weather,2024-09-28
554,D,WH3,10,84,Mechanical,2025-02-10
555,J,WH4,4,31,Mechanical,2024-06-08
556,A,WH2,1,85,Weather,2024-11-03
557,C,WH4,7,112,None,2025-07-08
558,B,WH1,1,78,Weather,2024-02-29
559,F,WH2,2,116,Mechanical,2025-04-12
560,C,WH3,7,115,Traffic,2024-09-08
561,E,WH4,6,6,None,2024-10-14
562,F,WH4,1,54,Mechanical,2024-05-02
563,B,WH4,4,118,Traffic,2024-02-15
564,I,WH2,9,59,Traffic,2024-04-23
565,C,WH4,8,34,Weather,2024-02-02
566,G,WH4,2,120,None,2025-12-19
567,J,WH3,7,86,Traffic,2025-05-17
568,I,WH1,7,35,Weather,2025-07-08
569,D,WH3,2,10,Weather,2024-05-07
570,A,WH3,7,0,Mechanical,2025-08-19
571,F,WH2,4,28,Mechanical,2025-01-21
572,A,WH3,6,107,None,2024-11-23
573,H,WH4,3,27,Mechanical,2024-04-23
574,J,WH2,8,58,None,2024-09-10
575,H,WH2,9,43,Traffic,2024-04-18
576,J,WH4,5,24,None,2024-08-28
577,E,WH1,3,7,None,2025-03-29
578,H,WH2,10,97,Weather,2024-05-12
579,E,WH3,1,111,Weather,2025-08-10
580,E,WH3,3,98,Weather,2025-04-20
581,J,WH1,4,12,Mechanical,2024-09-04
582,A,WH3,7,51,Mechanical,2025-02-15
583,G,WH4,10,117,Mechanical,2025-06-17
584,I,WH4,7,92,None,2025-01-02
585,E,WH3,5,83,Mechanical,2025-11-10
586,A,WH2,3,85,Weather,2024-12-25
587,B,WH1,6,105,Traffic,2025-07-25
588,B,WH1,8,40,Weather,2024-03-03
589,I,WH1,8,79,Mechanical,2024-07-20
590,I,WH2,3,24,None,2025-09-02
591,C,WH1,2,61,Traffic,2025-01-08
592,G,WH2,1,25,Traffic,2025-02-25
593,C,WH2,1,83,Weather,2025-12-24
594,D,WH3,6,6,Traffic,2024-12-21
595,B,WH1,7,34,Mechanical,2024-04-05
596,F,WH1,9,69,Traffic,2025-10-09
597,H,WH3,2,114,None,2024-10-12
